year_fraction;earnings;earnings_fitted;earnings_fitted_infl
20;9041.666667;9041.666667;9041.666667
20.08;9144.583334;9175.91426;9198.518426
20.17;9247.5;9309.487521;9354.695854
20.25;9350.416667;9442.387802;9510.200302
20.33;9453.333334;9574.616454;9665.03312
20.42;9556.250001;9706.174827;9819.19566
20.5;9659.166667;9837.064272;9972.689272
20.58;9762.083334;9967.28614;10125.51531
20.67;9865.000001;10096.84178;10277.67512
20.75;9967.916667;10225.73255;10429.17005
20.83;10070.83333;10353.95979;10580.00146
20.92;10173.75;10481.52486;10730.17069
21;10276.66667;10608.4291;10879.6791
21.08;10379.58333;10734.67388;11028.52805
21.17;10482.5;10860.26053;11176.71886
21.25;10585.41667;10985.19041;11324.25291
21.33;10688.33333;11109.46488;11471.13154
21.42;10791.25;11233.08527;11617.3561
21.5;10894.16667;11356.05294;11762.92794
21.58;10997.08333;11478.36925;11907.84842
21.67;11100;11600.03555;12052.11888
21.75;11202.91667;11721.05317;12195.74067
21.83;11305.83333;11841.42348;12338.71515
21.92;11408.75;11961.14783;12481.04367
22;11511.66667;12080.22757;12622.72757
22.08;11614.58333;12198.66404;12763.76821
22.17;11717.5;12316.4586;12904.16694
22.25;11820.41667;12433.61261;13043.92511
22.33;11923.33334;12550.1274;13183.04406
22.42;12026.25;12666.00433;13321.52516
22.5;12129.16667;12781.24476;13459.36976
22.58;12232.08334;12895.85002;13596.57919
22.67;12335;13009.82149;13733.15482
22.75;12437.91667;13123.16049;13869.09799
22.83;12540.83334;13235.86839;14004.41006
22.92;12643.75;13347.94654;14139.09237
23;12746.66667;13459.39628;14273.14628
23.08;12849.58334;13570.21898;14406.57314
23.17;12952.5;13680.41597;14539.3743
23.25;13055.41667;13789.98861;14671.55111
23.33;13158.33334;13898.93825;14803.10491
23.42;13261.25;14007.26624;14934.03707
23.5;13364.16667;14114.97393;15064.34893
23.58;13467.08334;14222.06268;15194.04184
23.67;13570;14328.53383;15323.11716
23.75;13672.91667;14434.38873;15451.57623
23.83;13775.83334;14539.62874;15579.42041
23.92;13878.75;14644.2552;15706.65104
24;13981.66667;14748.26948;15833.26948
24.08;14084.58334;14851.67291;15959.27707
24.17;14187.5;14954.46684;16084.67518
24.25;14290.41667;15056.65264;16209.46514
24.33;14393.33334;15158.23165;16333.64832
24.42;14496.25;15259.20522;16457.22605
24.5;14599.16667;15359.5747;16580.1997
24.58;14702.08334;15459.34144;16702.57061
24.67;14805;15558.5068;16824.34013
24.75;14907.91667;15657.07212;16945.50962
24.83;15010.83334;15755.03875;17066.08042
24.92;15113.75;15852.40805;17186.05389
25;15216.66667;15949.18137;17305.43137
25.08;15300.27778;16045.36006;17424.21422
25.17;15383.88889;16140.94546;17542.4038
25.25;15467.5;16235.93894;17660.00144
25.33;15551.11111;16330.34183;17777.0085
25.42;15634.72223;16424.15549;17893.42633
25.5;15718.33334;16517.38128;18009.25628
25.58;15801.94445;16610.02054;18124.4997
25.67;15885.55556;16702.07462;18239.15795
25.75;15969.16667;16793.54488;18353.23238
25.83;16052.77778;16884.43266;18466.72432
25.92;16136.38889;16974.73931;18579.63515
26;16220;17064.4662;18691.9662
26.08;16303.61111;17153.61466;18803.71882
26.17;16387.22222;17242.18605;18914.89438
26.25;16470.83334;17330.18171;19025.49421
26.33;16554.44445;17417.60301;19135.51968
26.42;16638.05556;17504.45129;19244.97212
26.5;16721.66667;17590.7279;19353.8529
26.58;16805.27778;17676.43419;19462.16336
26.67;16888.88889;17761.57152;19569.90485
26.75;16972.5;17846.14123;19677.07873
26.83;17056.11111;17930.14468;19783.68634
26.92;17139.72222;18013.58321;19889.72904
27;17223.33333;18096.45817;19995.20817
27.08;17306.94445;18178.77093;20100.1251
27.17;17390.55556;18260.52282;20204.48115
27.25;17474.16667;18341.7152;20308.2777
27.33;17557.77778;18422.34942;20411.51609
