date;sp;dividend;earnings;cpi;date_fraction;long_rf;real_price;real_dividend;real_tot_return;real_earnings;real_tr_earnings;month_tot_bond_return;real_tot_bond_returns;;;;;;;;;;;;;;;;;;;;;;;;
1871.01;4.44;0.26;0.4;12.46406116;1871.041667;5.32;94.07453196;5.508868989;94.07453196;8.47518306;8.47518306;1.004176936;1;;;;;;;;;;;;;;;;;;;;;;;;
1871.02;4.5;0.26;0.4;12.84464132;1871.125;5.323333333;92.5207618;5.345644015;92.96623214;8.224067716;8.263665079;1.004179752;0.974423686;;;;;;;;;;;;;;;;;;;;;;;;
1871.03;4.61;0.26;0.4;13.0349719;1871.208333;5.326666667;93.39841231;5.267589415;94.2891877;8.103983715;8.18127442;1.004182569;0.964208986;;;;;;;;;;;;;;;;;;;;;;;;
1871.04;4.74;0.26;0.4;12.55922645;1871.291667;5.33;99.66992195;5.46712652;101.0804501;8.410963877;8.529995789;1.004185386;1.004919008;;;;;;;;;;;;;;;;;;;;;;;;
1871.05;4.86;0.26;0.4;12.27381157;1871.375;5.333333333;104.5696093;5.594258932;106.5222635;8.606552202;8.767264485;1.004188202;1.032591147;;;;;;;;;;;;;;;;;;;;;;;;
1871.06;4.82;0.26;0.4;12.08348099;1871.458333;5.336666667;105.3425053;5.682375804;107.7919657;8.742116621;8.945391342;1.004191019;1.053248624;;;;;;;;;;;;;;;;;;;;;;;;
1871.07;4.73;0.26;0.4;12.08348099;1871.541667;5.34;103.375529;5.682375804;106.2637947;8.742116621;8.986367413;1.004193835;1.057662809;;;;;;;;;;;;;;;;;;;;; ; ; ; 
1871.08;4.79;0.26;0.4;11.8932314;1871.625;5.343333333;106.3614654;5.773273696;109.8277048;8.881959532;9.171415846;1.004196652;1.079088287;;;;;;;;;;;;;;;;;;;;;;;;
1871.09;4.84;0.26;0.4;12.17864628;1871.708333;5.346666667;104.9530375;5.63797309;108.8585198;8.673804754;8.996571885;1.004199469;1.058221545;;;;;;;;;;;;;;;;;;;;;;;;
1871.1;4.59;0.26;0.4;12.36889587;1871.791667;5.35;98.00098026;5.551253784;102.1275834;8.540390437;8.900007266;1.004202285;1.046320346;;;;;;;;;;;;;;;;;;;;;;;;
1871.11;4.64;0.26;0.4;12.36889587;1871.875;5.353333333;99.06852907;5.551253784;103.722168;8.540390437;8.941566208;1.004205102;1.050717282;;;;;;;;;;;;;;;;;;;;;;;;
1871.12;4.74;0.26;0.4;12.65439174;1871.958333;5.356666667;98.92037055;5.426011887;104.0404577;8.347710595;8.779785457;1.004207918;1.031330728;;;;;;;;;;;;;;;;;;;;;;;;
1872.01;4.86;0.2633;0.4025;12.65439174;1872.041667;5.36;101.4246837;5.494880499;107.1560011;8.399883786;8.87454536;1.00306;1.035670483;;;;;;;;;;;;;;;;;;;;;;;;
1872.02;4.88;0.2667;0.405;12.65439174;1872.125;5.378333333;101.8420693;5.565836039;108.0870016;8.452056977;8.97033517;1.003076448;1.038839635;;;;;;;;;;;;;;;;;;;;;;;;
1872.03;5.04;0.27;0.4075;12.84464132;1872.208333;5.396666667;103.6232532;5.551245708;110.4683779;8.378268985;8.931719045;1.003092895;1.026601366;;;;;;;;;;;;;;;;;;;;;;;;
1872.04;5.18;0.2733;0.41;13.13013719;1872.291667;5.415;104.1859518;5.496915177;111.5565828;8.246378422;8.82976814;1.003109341;1.007385533;;;;;;;;;;;;;;;;;;;;;;;;
1872.05;5.18;0.2767;0.4125;13.13013719;1872.375;5.433333333;104.1859518;5.565299779;112.0531676;8.296661217;8.923152822;1.003125785;1.010517838;;;;;;;;;;;;;;;;;;;;;;;;
1872.06;5.13;0.28;0.415;13.0349719;1872.458333;5.451666667;103.9335911;5.6727886;112.2901799;8.407883104;9.08390344;1.003142228;1.021077116;;;;;;;;;;;;;;;;;;;;;;;;
1872.07;5.1;0.2833;0.4175;12.84464132;1872.541667;5.47;104.8568634;5.82469596;113.8121044;8.583870678;9.316971294;1.00315867;1.039463332;;;;;;;;;;;;;;;;;;;;;;;;
1872.08;5.04;0.2867;0.42;12.93980661;1872.625;5.488333333;102.8611601;5.851248931;112.1752069;8.571763346;9.347933911;1.00317511;1.035077815;;;;;;;;;;;;;;;;;;;;;;;;
1872.09;4.95;0.29;0.4225;13.0349719;1872.708333;5.506666667;100.2867985;5.875388193;109.9016878;8.559832799;9.380497597;1.003191549;1.030783445;;;;;;;;;;;;;;;;;;;;;;;;
1872.1;4.97;0.2933;0.425;12.74947603;1872.791667;5.525;102.9467687;6.075309308;113.3714943;8.803295111;9.694745486;1.003207986;1.057228988;;;;;;;;;;;;;;;;;;;;;;;;
1872.11;4.95;0.2967;0.4275;13.13013719;1872.875;5.543333333;99.55993461;5.967562141;110.1893531;8.598357989;9.516353218;1.003224423;1.029871681;;;;;;;;;;;;;;;;;;;;;;;;
1872.12;5.07;0.3;0.43;12.93980661;1872.958333;5.561666667;103.473429;6.122688104;115.0853654;8.775852949;9.760691736;1.003240857;1.048389567;;;;;;;;;;;;;;;;;;;;;;;;
