date	sp	dividend	earnings	cpi	date_fraction	long_rf	real_price	real_dividend	real_tot_return	real_earnings	real_tr_earnings	month_tot_bond_return	real_tot_bond_returns
1871.01	4.44	0.26	0.4	12.46	1871.04	5.32	94.07	5.51	94.07	8.48	8.48	1	1
1871.02	4.5	0.26	0.4	12.84	1871.13	5.32	92.52	5.35	92.97	8.22	8.26	1	0.97
1871.03	4.61	0.26	0.4	13.03	1871.21	5.33	93.4	5.27	94.29	8.1	8.18	1	0.96
1871.04	4.74	0.26	0.4	12.56	1871.29	5.33	99.67	5.47	101.08	8.41	8.53	1	1
1871.05	4.86	0.26	0.4	12.27	1871.38	5.33	104.57	5.59	106.52	8.61	8.77	1	1.03
1871.06	4.82	0.26	0.4	12.08	1871.46	5.34	105.34	5.68	107.79	8.74	8.95	1	1.05
1871.07	4.73	0.26	0.4	12.08	1871.54	5.34	103.38	5.68	106.26	8.74	8.99	1	1.06
1871.08	4.79	0.26	0.4	11.89	1871.63	5.34	106.36	5.77	109.83	8.88	9.17	1	1.08
1871.09	4.84	0.26	0.4	12.18	1871.71	5.35	104.95	5.64	108.86	8.67	9	1	1.06
1871.10	4.59	0.26	0.4	12.37	1871.79	5.35	98	5.55	102.13	8.54	8.9	1	1.05
1871.11	4.64	0.26	0.4	12.37	1871.88	5.35	99.07	5.55	103.72	8.54	8.94	1	1.05
1871.12	4.74	0.26	0.4	12.65	1871.96	5.36	98.92	5.43	104.04	8.35	8.78	1	1.03
1872.01	4.86	0.26	0.4	12.65	1872.04	5.36	101.42	5.49	107.16	8.4	8.87	1	1.04
1872.02	4.88	0.27	0.41	12.65	1872.13	5.38	101.84	5.57	108.09	8.45	8.97	1	1.04
1872.03	5.04	0.27	0.41	12.84	1872.21	5.4	103.62	5.55	110.47	8.38	8.93	1	1.03
1872.04	5.18	0.27	0.41	13.13	1872.29	5.42	104.19	5.5	111.56	8.25	8.83	1	1.01
1872.05	5.18	0.28	0.41	13.13	1872.38	5.43	104.19	5.57	112.05	8.3	8.92	1	1.01
1872.06	5.13	0.28	0.42	13.03	1872.46	5.45	103.93	5.67	112.29	8.41	9.08	1	1.02
1872.07	5.1	0.28	0.42	12.84	1872.54	5.47	104.86	5.82	113.81	8.58	9.32	1	1.04
1872.08	5.04	0.29	0.42	12.94	1872.63	5.49	102.86	5.85	112.18	8.57	9.35	1	1.04
1872.09	4.95	0.29	0.42	13.03	1872.71	5.51	100.29	5.88	109.9	8.56	9.38	1	1.03
1872.10	4.97	0.29	0.43	12.75	1872.79	5.53	102.95	6.08	113.37	8.8	9.69	1	1.06
1872.11	4.95	0.3	0.43	13.13	1872.88	5.54	99.56	5.97	110.19	8.6	9.52	1	1.03
1872.12	5.07	0.3	0.43	12.94	1872.96	5.56	103.47	6.12	115.09	8.78	9.76	1	1.05
1873.01	5.11	0.3	0.43	12.94	1873.04	5.58	104.29	6.17	116.57	8.83	9.87	1.01	1.05
1873.02	5.15	0.31	0.44	13.23	1873.13	5.57	102.84	6.09	115.51	8.69	9.76	1.01	1.03
1873.03	5.11	0.31	0.44	13.23	1873.21	5.56	102.04	6.14	115.19	8.74	9.86	1.01	1.04
1873.04	5.04	0.31	0.44	13.23	1873.29	5.55	100.64	6.19	114.19	8.79	9.97	1.01	1.05
1873.05	5.05	0.31	0.44	12.94	1873.38	5.54	103.07	6.38	117.55	9.03	10.3	1.01	1.07
1873.06	4.98	0.32	0.45	12.56	1873.46	5.53	104.72	6.62	120.06	9.36	10.73	1.01	1.11
1873.07	4.97	0.32	0.45	12.56	1873.54	5.53	104.51	6.68	120.45	9.41	10.85	1.01	1.12
1873.08	4.97	0.32	0.45	12.56	1873.63	5.52	104.51	6.73	121.1	9.46	10.96	1.01	1.12
1873.09	4.59	0.32	0.45	12.56	1873.71	5.51	96.52	6.78	112.5	9.51	11.09	1.01	1.13
1873.10	4.19	0.33	0.46	12.27	1873.79	5.5	90.15	6.99	105.76	9.79	11.48	1.01	1.16
1873.11	4.04	0.33	0.46	11.89	1873.88	5.49	89.71	7.27	105.95	10.16	12	1.01	1.21
1873.12	4.42	0.33	0.46	12.18	1873.96	5.48	95.85	7.16	113.9	9.97	11.85	1.01	1.18
1874.01	4.66	0.33	0.46	12.37	1874.04	5.47	99.5	7.05	118.94	9.82	11.74	1.01	1.17
1874.02	4.8	0.33	0.46	12.37	1874.13	5.44	102.48	7.05	123.21	9.82	11.81	1.01	1.18
1874.03	4.73	0.33	0.46	12.37	1874.21	5.4	100.99	7.05	122.12	9.82	11.88	1.01	1.19
1874.04	4.6	0.33	0.46	12.18	1874.29	5.37	99.75	7.16	121.34	9.97	12.13	1.01	1.22
1874.05	4.48	0.33	0.46	12.08	1874.38	5.34	97.91	7.21	119.84	10.05	12.3	1.01	1.23
1874.06	4.46	0.33	0.46	11.8	1874.46	5.3	99.83	7.39	122.94	10.3	12.68	1.01	1.27
1874.07	4.46	0.33	0.46	11.89	1874.54	5.27	99.03	7.33	122.71	10.21	12.66	1.01	1.27
1874.08	4.47	0.33	0.46	11.8	1874.63	5.24	100.06	7.39	124.74	10.3	12.84	1.01	1.29
1874.09	4.54	0.33	0.46	11.8	1874.71	5.2	101.62	7.39	127.46	10.3	12.91	1.01	1.3
1874.10	4.53	0.33	0.46	11.61	1874.79	5.17	103.06	7.51	130.05	10.47	13.21	1.01	1.33
1874.11	4.57	0.33	0.46	11.51	1874.88	5.14	104.83	7.57	133.08	10.55	13.4	1.01	1.35
1874.12	4.54	0.33	0.46	11.51	1874.96	5.1	104.14	7.57	133.01	10.55	13.48	1.01	1.36
1875.01	4.54	0.33	0.45	11.51	1875.04	5.07	104.14	7.51	133.8	10.36	13.31	1.01	1.37
1875.02	4.53	0.33	0.44	11.51	1875.13	5.03	103.91	7.46	134.31	10.17	13.14	1.01	1.38
1875.03	4.59	0.32	0.44	11.51	1875.21	4.99	105.29	7.4	136.88	9.98	12.97	1.01	1.39
1875.04	4.65	0.32	0.43	11.61	1875.29	4.95	105.79	7.28	138.33	9.71	12.69	1.01	1.39
